
questions, answers, values
"Hei", "Hei!"
"Hey", "Hey"
"Hello", "Hello!"
"What is the current state of my posture?", "Your posture is Alarming! Please straighten up, or this can lead to serious health problems!", "1" 
"What is the current state of my posture?", "Your posture is bad. Straighten up your back!", "2"
"What is the current state of my posture?", "Your posture is simply ok. Try to straighten up a little bit.", "3"
"What is the current state of my posture?", "Your posture is good. Only a small way to go until your posture is perfect!", "4"
"What is the current state of my posture?", "Your posture is perfect! Keep up the good work!", "5"

"Make a summary of my postures current development", "Your posture has been very good and stable, keep up the good work!", "[4.8, 5.0, 4.6, 4.9]" 
"Make a summary of my postures current development", "This has been a bad day, you have majorly had a bad posture.", "[2.4, 3.1, 2.2, 4.0]"
"Make a summary of my postures current development", "Your posture has really fluctuated, you have had both great and bad posture.", "[4.5, 2.8, 3.6, 5.0]"
"Make a summary of my postures current development", "It seems like your posture started out great and gradually worsened throughout the day.", "[5.0, 4.2, 3.1, 2.0]"
"Make a summary of my postures current development", "You started out with a pretty bad posture, but this has really improved throughout the day.", "[2.1, 3.0, 4.0, 5.0]"
"Make a summary of my postures current development", "Your posture has majorly been bad, with the exception of one great period of the day.", "[2.0, 1.9, 4.7, 2.5]"
"Make a summary of my postures current development", "Your posture has been relatively okay throughout the day.", "[3.2, 3.0, 3.3, 3.1]"
"Make a summary of my postures current development", "This has been an alarming day, your posture has been really bad and has even been alarming at some points of the day.", "[1.5, 2.0, 1.8, 2.3]"
"Make a summary of my postures current development", "We see that this has been a very active day with big fluctuation between the different posture stages.", "[5.0, 3.2, 1.9, 4.4]"
"Make a summary of my postures current development", "Your posture has been nearly perfect all day! Amazing!", "[4.9, 4.7, 5.0, 4.8]"

"Make a prediction of how my posture will develop in the future?", "[2.4, 3.1, 4.2, 4.8]", "[2.9, 3.6, 4.5, 4.9]"
"Make a prediction of how my posture will develop in the future?", "[4.5, 2.8, 3.6, 5.0]", "[4.5, 2.8, 3.6, 5.0]"
"Make a prediction of how my posture will develop in the future?", "[5.0, 4.2, 3.1, 2.0]", "[5.0, 4.4, 3.6, 2.8]"
"Make a prediction of how my posture will develop in the future?", "[2.1, 3.0, 4.0, 5.0]", "[2.8, 3.4, 4.3, 5.0]"
"Make a prediction of how my posture will develop in the future?", "[2.0, 1.8, 4.7, 2.5]", "[2.6, 2.4, 4.8, 3.1]"
"Make a prediction of how my posture will develop in the future?", "[3.2, 3.0, 3.3, 3.1]", "[3.5, 3.3, 3.6, 3.4]"
"Make a prediction of how my posture will develop in the future?", "[1.5, 2.0, 1.8, 2.3]", "[2.1, 2.6, 2.4, 2.9]"
"Make a prediction of how my posture will develop in the future?", "[5.0, 3.2, 1.9, 4.4]", "[5.0, 3.7, 2.6, 4.7]"
"Make a prediction of how my posture will develop in the future?", "[4.9, 4.7, 5.0, 4.8]", "[5.0, 4.9, 5.0, 4.9]"
"Make a prediction of how my posture will develop in the future?", "[3.8, 2.9, 2.4, 3.1]", "[4.2, 3.3, 2.9, 3.6]"

"Do you have a recomedation for something i can do right now to improve my posture?", "If you are sitting, stand up and move your body around a bit."
"Do you have a recomedation for something i can do right now to improve my posture?", "Try to imagine that you have a stack of books on your head, apply this to your posture."
"Do you have a recomedation for something i can do right now to improve my posture?", "Go for a walk, move your body."
"Do you have a recomedation for something i can do right now to improve my posture?", "Make sure that your gaze matches with your head; if you are looking straight ahead, tilt your head to be straight as well."
"Do you have a recomedation for something i can do right now to improve my posture?", "Try to focus on having your shoulders pushed back a little bit, this does a lot for your posture."

"How to watch out for my back?", "Try to limit screen time, especially looking at your phone while looking down, this puts a strain on your neck."
"How to watch out for my back?", "When working or gaming on your computer, try to do this with a straight angle on your back. Especially if you work in corporate."
"How to watch out for my back?", "Move your body a lot; walks, runs and so on have a really good effect on your posture."
"How to watch out for my back?", "Lift weights, making your back stronger will make it easier to have a good posture as well as bettering your overall health."
"How to watch out for my back?", "Be especially careful when lifting heavy objects, concentrate on using the strength in your legs rather than your back."
